bag_no,spp,initial_wt_g,coll_wt_g,days,soil_block,row
2,PC,23.689,23.141,0,1,A
183,GM_PC,24.783,24.581,0,1,A
236,CR,22.415,20.883,0,1,A
323,AR,23.875,22.134,0,1,A
11,PC,25.556,24.848,0,1,B
121,GM_PC,23.302,23.361,0,1,B
223,CR,22.739,21.226,0,1,B
387,AR,23.035,21.388,0,1,B
77,PC,24.881,24.342,0,1,C
176,GM_PC,24.481,23.871,0,1,C
240,CR,23.294,21.393,0,1,C
396,AR,23.779,22.141,0,1,C
33,PC,24.673,24.556,0,1,D
159,GM_PC,24.805,24.442,0,1,D
258,CR,22.677,21.05,0,1,D
386,AR,22.69,21.196,0,1,D
10,PC,24.173,23.573,0,1,E
123,GM_PC,23.508,23.372,0,1,E
255,CR,22.334,20.583,0,1,E
392,AR,23.252,21.695,0,1,E
56,PC,24.762,23.931,0,2,F
118,GM_PC,24.775,24.62,0,2,F
211,CR,22.504,21.087,0,2,F
325,AR,23.05,21.543,0,2,F
34,PC,24.263,23.752,0,2,G
130,GM_PC,24.425,24.097,0,2,G
272,CR,23.233,21.327,0,2,G
315,AR,22.536,20.634,0,2,G
84,PC,24.494,24.808,0,2,H
109,GM_PC,26.027,26.091,0,2,H
215,CR,22.77,20.672,0,2,H
393,AR,23.033,21.475,0,2,H
73,PC,24.455,23.853,0,2,I
106,GM_PC,25.459,25.439,0,2,I
283,CR,22.948,21.542,0,2,I
379,AR,23.238,21.129,0,2,I
25,PC,24.96,24.028,0,2,J
200,GM_PC,22.932,25.034,0,2,J
276,CR,23.275,21.481,0,2,J
394,AR,23.677,22.167,0,2,J
21,PC,25.416,23.066,7,1,A
145,GM_PC,24.383,23.652,7,1,A
207,CR,22.766,19.1089,7,1,A
300,AR,23.869,21.229,7,1,A
54,PC,25.38,23.19,7,1,B
151,GM_PC,24.478,22.054,7,1,B
290,CR,22.532,20.236,7,1,B
308,AR,23.337,19.8716,7,1,B
6,PC,24.086,22.055,7,1,C
125,GM_PC,24.23,22.828,7,1,C
235,CR,22.69,19.403,7,1,C
346,AR,22.555,19.085,7,1,C
44,PC,25.163,21.68,7,1,D
135,GM_PC,24.807,23.052,7,1,D
253,CR,23.422,20.523,7,1,D
338,AR,22.775,19.026,7,1,D
7,PC,24.288,21.957,7,1,E
168,GM_PC,24.92,22.058,7,1,E
294,CR,22.863,20.3,7,1,E
310,AR,23.518,19.635,7,1,E
94,PC,25.286,23.015,7,2,F
147,GM_PC,24.909,23.363,7,2,F
261,CR,22.95,19.909,7,2,F
345,AR,22.836,19.455,7,2,F
65,PC,24.512,22.553,7,2,G
196,GM_PC,24.822,23.37,7,2,G
267,CR,23.085,19.68,7,2,G
335,AR,23.003,19.115,7,2,G
39,PC,23.761,21.694,7,2,H
126,GM_PC,22.72,20.617,7,2,H
239,CR,22.903,20.075,7,2,H
332,AR,22.813,19.503,7,2,H
50,PC,25.165,22.088,7,2,I
198,GM_PC,24.383,23.019,7,2,I
246,CR,22.809,20.458,7,2,I
388,AR,23.198,19.275,7,2,I
71,PC,25.086,23.384,7,2,J
131,GM_PC,24.42,23.117,7,2,J
284,CR,23.323,20.375,7,2,J
369,AR,23.825,19.631,7,2,J
28,PC,24.473,20.668,14,1,A
140,GM_PC,24.657,21.806,14,1,A
249,CR,22.318,16.682,14,1,A
321,AR,22.812,16.257,14,1,A
