sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remain
2,PC,23.689,23.141,0,1,1,1.84,44.4,0.444,10.7761261,10.274604,0.953459889,95.34598894
183,GM_PC,24.783,24.581,0,1,1,1.84,43.7,0.437,10.6904841,10.741897,1.004809221,100.4809221
236,CR,22.415,20.883,0,1,1,1.58,43,0.43,9.633967,8.97969,0.93208644,93.20864396
323,AR,23.875,22.134,0,1,1,1.76,41.1,0.411,9.8627625,9.097074,0.922365717,92.23657165
11,PC,25.556,24.848,0,1,2,1.45,45,0.45,11.6254244,11.1816,0.961822951,96.18229507
121,GM_PC,23.302,23.361,0,1,2,1.74,44.2,0.442,10.05163461,10.325562,1.027252025,102.7252025
223,CR,22.739,21.226,0,1,2,1.69,43.3,0.433,9.7732222,9.190858,0.940412262,94.04122624
387,AR,23.035,21.388,0,1,2,1.49,41.2,0.412,9.5157585,8.811856,0.926027704,92.60277045
77,PC,24.881,24.342,0,1,3,2.19,45.5,0.455,11.3183669,11.07561,0.97855195,97.85519499
176,GM_PC,24.481,23.871,0,1,3,1.36,45.6,0.456,10.56021229,10.885176,1.03077246,103.077246
240,CR,23.294,21.393,0,1,3,1.36,42.4,0.424,10.0117612,9.070632,0.905997638,90.59976381
396,AR,23.779,22.141,0,1,3,1.57,41.6,0.416,9.8231049,9.210656,0.937652208,93.76522081
33,PC,24.673,24.556,0,1,4,2.55,47.2,0.472,11.2237477,11.590432,1.032670398,103.2670398
159,GM_PC,24.805,24.442,0,1,4,1.48,45.3,0.453,10.6999741,11.072226,1.034789982,103.4789982
258,CR,22.677,21.05,0,1,4,1.32,42.9,0.429,9.7465746,9.03045,0.92652551,92.65255098
386,AR,22.69,21.196,0,1,4,1.65,41.5,0.415,9.373239,8.79634,0.938452546,93.84525456
10,PC,24.173,23.573,0,1,5,1.59,44.9,0.449,10.9962977,10.584277,0.962530962,96.25309617
123,GM_PC,23.508,23.372,0,1,5,1.38,45,0.45,10.14049551,10.5174,1.037168252,103.7168252
255,CR,22.334,20.583,0,1,5,1.35,43.8,0.438,9.5991532,9.015354,0.939182219,93.91822187
392,AR,23.252,21.695,0,1,5,1.76,40.8,0.408,9.6054012,8.85156,0.92151903,92.15190304
56,PC,24.762,23.931,0,2,6,1.66,45.5,0.455,11.2642338,10.888605,0.966652965,96.66529649
118,GM_PC,24.775,24.62,0,2,6,1.5,45.3,0.453,10.68703319,11.15286,1.043588038,104.3588038
211,CR,22.504,21.087,0,2,6,1.41,42.6,0.426,9.6722192,8.983062,0.928748803,92.87488025
325,AR,23.05,21.543,0,2,6,1.85,41.5,0.415,9.521955,8.940345,0.938919056,93.8919056
34,PC,24.263,23.752,0,2,7,1.87,45.5,0.455,11.0372387,10.80716,0.979154324,97.91543242
130,GM_PC,24.425,24.097,0,2,7,1.76,44.9,0.449,10.53605593,10.819553,1.026907324,102.6907324
272,CR,23.233,21.327,0,2,7,1.45,42.8,0.428,9.9855434,9.127956,0.914117103,91.41171025
315,AR,22.536,20.634,0,2,7,1.87,41.2,0.412,9.3096216,8.501208,0.913163646,91.31636457
84,PC,24.494,24.808,0,2,8,2.17,45.7,0.457,11.1423206,11.337256,1.017495045,101.7495045
109,GM_PC,26.027,26.091,0,2,8,1.74,44,0.44,11.22710042,11.48004,1.022529377,102.2529377
215,CR,22.77,20.672,0,2,8,1.46,42.8,0.428,9.786546,8.847616,0.904059103,90.40591032
393,AR,23.033,21.475,0,2,8,1.65,41.8,0.418,9.5149323,8.97655,0.943417117,94.34171171
73,PC,24.455,23.853,0,2,9,1.62,45,0.45,11.1245795,10.73385,0.96487692,96.48769196
106,GM_PC,25.459,25.439,0,2,9,1.41,45.2,0.452,10.98208589,11.498428,1.047016761,104.7016761
283,CR,22.948,21.542,0,2,9,1.33,42.9,0.429,9.8630504,9.241518,0.936983755,93.6983755
379,AR,23.238,21.129,0,2,9,1.74,40.9,0.409,9.5996178,8.641761,0.900219277,90.02192775
25,PC,24.96,24.028,0,2,10,1.78,46.2,0.462,11.354304,11.100936,0.97768529,97.76852901
200,GM_PC,22.932,25.034,0,2,10,1.76,44.1,0.441,9.892030075,11.039994,1.116049377,111.6049377
200,GM_PC,22.932,25.034,0,2,10,1.58,27.2,0.272,9.892030075,6.809248,0.688356985,68.83569852
276,CR,23.275,21.481,0,2,10,1.44,43.3,0.433,10.003595,9.301273,0.929793039,92.97930394
394,AR,23.677,22.167,0,2,10,1.77,41.5,0.415,9.7809687,9.199305,0.940531074,94.05310744
28,PC,24.473,20.668,14,1,1,1.45,43.7,0.437,11.1327677,9.031916,0.811291158,81.12911581
140,GM_PC,24.657,21.806,14,1,1,1.2,44.8,0.448,10.63613229,9.769088,0.918481243,91.84812428
249,CR,22.318,16.682,14,1,1,1.14,40.9,0.409,9.5922764,6.822938,0.711294975,71.12949748
321,AR,22.812,16.257,14,1,1,1.28,39.8,0.398,9.4236372,6.470286,0.686601772,68.6601772
57,PC,24.357,20.689,14,1,2,1.55,43,0.43,11.0799993,8.89627,0.802912506,80.29125056
156,GM_PC,24.764,22.841,14,1,2,1.24,42.6,0.426,10.68228819,9.730266,0.91087844,91.08784398
212,CR,22.444,17.276,14,1,2,1.23,36.2,0.362,9.6464312,6.253912,0.648313544,64.83135442
362,AR,23.852,19.339,14,1,2,1.31,33.9,0.339,9.8532612,6.555921,0.665355446,66.5355446
67,PC,25.11,20.712,14,1,3,1.62,43.2,0.432,11.422539,8.947584,0.783327069,78.33270694
154,GM_PC,24.979,21.34,14,1,3,1.42,41.2,0.412,10.77503136,8.79208,0.815967926,81.59679265
238,CR,22.586,17.023,14,1,3,1.27,41.7,0.417,9.7074628,7.098591,0.731250909,73.12509094
