sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
2,PC,23.689,23.141,0,1,1,1.84,44.4,0.0184,0.44345808000000003,0.42579439999999996,0.9601683207576237,96.01683207576237
183,GM_PC,24.783,24.581,0,1,1,1.84,43.7,0.0184,0.39540161265000007,0.4522904,1.1438759618827263,114.38759618827264
236,CR,22.415,20.883,0,1,1,1.58,43,0.0158,0.32255185,0.3299514,1.0229406527973721,102.29406527973721
323,AR,23.875,22.134,0,1,1,1.76,41.1,0.0176,0.40850125,0.3895584,0.9536284160697184,95.36284160697184
11,PC,25.556,24.848,0,1,2,1.45,45,0.014499999999999999,0.47840832000000005,0.36029599999999995,0.753113992666348,75.31139926663481
121,GM_PC,23.302,23.361,0,1,2,1.74,44.2,0.0174,0.3717729241,0.4064814,1.0933593428946538,109.33593428946537
223,CR,22.739,21.226,0,1,2,1.69,43.3,0.0169,0.32721421,0.35871939999999997,1.09628307401442,109.628307401442
387,AR,23.035,21.388,0,1,2,1.49,41.2,0.0149,0.39412885000000003,0.31868120000000005,0.8085711056168561,80.8571105616856
77,PC,24.881,24.342,0,1,3,2.19,45.5,0.0219,0.46577232,0.5330898,1.144528725966369,114.4528725966369
176,GM_PC,24.481,23.871,0,1,3,1.36,45.6,0.013600000000000001,0.39058333855000005,0.3246456,0.8311813842475025,83.11813842475026
240,CR,23.294,21.393,0,1,3,1.36,42.4,0.013600000000000001,0.33520066,0.2909448,0.8679720380025505,86.79720380025505
396,AR,23.779,22.141,0,1,3,1.57,41.6,0.015700000000000002,0.40685869,0.3476137,0.8543843563965661,85.4384356396566
33,PC,24.673,24.556,0,1,4,2.55,47.2,0.0255,0.46187856,0.626178,1.355719997048575,135.5719997048575
159,GM_PC,24.805,24.442,0,1,4,1.48,45.3,0.0148,0.39575261275,0.3617416,0.9140599160832703,91.40599160832703
258,CR,22.677,21.05,0,1,4,1.32,42.9,0.0132,0.32632203,0.27786,0.8514901675501345,85.14901675501345
386,AR,22.69,21.196,0,1,4,1.65,41.5,0.0165,0.3882259,0.34973400000000004,0.900851797883655,90.0851797883655
10,PC,24.173,23.573,0,1,5,1.59,44.9,0.0159,0.45251855999999996,0.37481070000000005,0.8282769661425602,82.82769661425601
123,GM_PC,23.508,23.372,0,1,5,1.38,45,0.0138,0.3750595614,0.3225336,0.8599530133189133,85.99530133189133
255,CR,22.334,20.583,0,1,5,1.35,43.8,0.013500000000000002,0.32138626,0.2778705,0.8645998120765961,86.45998120765961
392,AR,23.252,21.695,0,1,5,1.76,40.8,0.0176,0.39784172,0.381832,0.9597585693124391,95.97585693124391
56,PC,24.762,23.931,0,2,6,1.66,45.5,0.0166,0.46354464,0.3972546,0.8569931905587346,85.69931905587346
118,GM_PC,24.775,24.62,0,2,6,1.5,45.3,0.015,0.39527397625,0.3693,0.9342886761824862,93.42886761824862
211,CR,22.504,21.087,0,2,6,1.41,42.6,0.0141,0.32383256000000005,0.2973267,0.918149490588593,91.8149490588593
325,AR,23.05,21.543,0,2,6,1.85,41.5,0.018500000000000003,0.3943855,0.39854550000000005,1.010548055138944,101.05480551389441
34,PC,24.263,23.752,0,2,7,1.87,45.5,0.0187,0.45420336000000006,0.4441624,0.9778932502833091,97.78932502833091
130,GM_PC,24.425,24.097,0,2,7,1.76,44.9,0.0176,0.38968988375,0.4241072000000001,1.0883197580568449,108.8319758056845
272,CR,23.233,21.327,0,2,7,1.45,42.8,0.014499999999999999,0.33432287,0.3092415,0.9249785992803903,92.49785992803903
315,AR,22.536,20.634,0,2,7,1.87,41.2,0.0187,0.38559096000000004,0.3858558,1.0006868418284496,100.06868418284496
84,PC,24.494,24.808,0,2,8,2.17,45.7,0.0217,0.45852768,0.5383336,1.1740482057702601,117.40482057702602
109,GM_PC,26.027,26.091,0,2,8,1.74,44,0.0174,0.41524907285000007,0.4539834,1.0932797438514494,109.32797438514494
215,CR,22.77,20.672,0,2,8,1.46,42.8,0.0146,0.3276603,0.3018112,0.9211100642952472,92.11100642952472
393,AR,23.033,21.475,0,2,8,1.65,41.8,0.0165,0.39409463,0.3543375,0.8991178083294361,89.9117808329436
73,PC,24.455,23.853,0,2,9,1.62,45,0.016200000000000003,0.45779759999999997,0.3864186000000001,0.8440817514115411,84.4081751411541
106,GM_PC,25.459,25.439,0,2,9,1.41,45.2,0.0141,0.40618688845,0.3586899,0.8830661702763292,88.30661702763291
283,CR,22.948,21.542,0,2,9,1.33,42.9,0.013300000000000001,0.33022172,0.28650860000000006,0.8676249399948618,86.76249399948618
379,AR,23.238,21.129,0,2,9,1.74,40.9,0.0174,0.39760217999999997,0.3676446,0.9246543869553231,92.46543869553231
25,PC,24.96,24.028,0,2,10,1.78,46.2,0.0178,0.46725120000000003,0.4276984,0.9153500301336839,91.53500301336838
