Bag #,species,Initial weight,Collection Weight,T ,Soil Type ,Row
2,PC,23.689,23.141,t0,1,A
183,GM_PC,24.783,24.581,t0,1,A
236,CR,22.415,20.883,t0,1,A
323,AR,23.875,22.134,t0,1,A
11,PC,25.556,24.848,t0,1,B
121,GM_PC,23.302,23.361,t0,1,B
223,CR,22.739,21.226,t0,1,B
387,AR,23.035,21.388,t0,1,B
77,PC,24.881,24.342,t0,1,C
176,GM_PC,24.481,23.871,t0,1,C
240,CR,23.294,21.393,t0,1,C
396,AR,23.779,22.141,t0,1,C
33,PC,24.673,24.556,t0,1,D
159,GM_PC,24.805,24.442,t0,1,D
258,CR,22.677,21.05,t0,1,D
386,AR,22.69,21.196,t0,1,D
10,PC,24.173,23.573,t0,1,E
123,GM_PC,23.508,23.372,t0,1,E
255,CR,22.334,20.583,t0,1,E
392,AR,23.252,21.695,t0,1,E
56,PC,24.762,23.931,t0,2,F
118,GM_PC,24.775,24.62,t0,2,F
211,CR,22.504,21.087,t0,2,F
325,AR,23.05,21.543,t0,2,F
34,PC,24.263,23.752,t0,2,G
130,GM_PC,24.425,24.097,t0,2,G
272,CR,23.233,21.327,t0,2,G
315,AR,22.536,20.634,t0,2,G
84,PC,24.494,24.808,t0,2,H
109,GM_PC,26.027,26.091,t0,2,H
215,CR,22.77,20.672,t0,2,H
393,AR,23.033,21.475,t0,2,H
73,PC,24.455,23.853,t0,2,I
106,GM_PC,25.459,25.439,t0,2,I
283,CR,22.948,21.542,t0,2,I
379,AR,23.238,21.129,t0,2,I
25,PC,24.96,24.028,t0,2,J
200,GM_PC,22.932,25.034,t0,2,J
276,CR,23.275,21.481,t0,2,J
394,AR,23.677,22.167,t0,2,J
21,PC,25.416,24.233,t1,1,A
145,GM_PC,24.383,24.215,t1,1,A
207,CR,22.766,23.023,t1,1,A
300,AR,23.869,22.383,t1,1,A
54,PC,25.38,24.331,t1,1,B
151,GM_PC,24.478,24.247,t1,1,B
290,CR,22.532,21.582,t1,1,B
308,AR,23.337,21.833,t1,1,B
6,PC,24.086,23.958,t1,1,C
125,GM_PC,24.23,25.44,t1,1,C
235,CR,22.69,21.242,t1,1,C
346,AR,22.555,21.528,t1,1,C
44,PC,25.163,24.029,t1,1,D
135,GM_PC,24.807,24.663,t1,1,D
253,CR,23.422,22.703,t1,1,D
338,AR,22.775,21.326,t1,1,D
7,PC,24.288,23.503,t1,1,E
168,GM_PC,24.92,23.999,t1,1,E
294,CR,22.863,21.581,t1,1,E
310,AR,23.518,21.885,t1,1,E
94,PC,25.286,24.188,t1,2,F
147,GM_PC,24.909,24.804,t1,2,F
261,CR,22.95,21.552,t1,2,F
345,AR,22.836,21.693,t1,2,F
65,PC,24.512,23.67,t1,2,G
196,GM_PC,24.822,24.802,t1,2,G
