study,box,cell,bag,spp,y_m_d,plot,subplot,mass_sent_g,
cci,a,a4,2002,pc,4/13/21,1,2,0.1118,
cci,a,a6,3000,pc,5/1/20,1,2,0.1015,
cci,a,a8,2001,pc,4/13/21,1,1,0.1222,
cci,a,a2,2003,pc,4/13/21,1,3,0.1029,
cci,a,a1,3001,pc,5/1/20,1,3,0.1228,
cci,a,a5,3002,weed,5/1/20,1,1,0.1248,
cci,a,a7,3003,weed,5/1/20,1,2,0.1086,
cci,a,a10,3004,weed,5/1/20,1,3,0.1032,
cci,a,a3,3005,weed,6/1/21,1,3,0.1093,
cci,a,a9,3006,weed,6/1/21,1,2,0.1122,
cci,a,b1,6,pc,5/1/20,2,2,0.1101,
cci,a,b5,3007,weed,5/1/20,2,1,0.1222,
cci,a,b2,3008,weed,5/1/20,2,2,0.1136,
cci,a,b7,3009,weed,5/1/20,2,3,0.1121,
cci,a,b3,3010,weed,6/1/21,2,1,0.1221,
cci,a,b4,3011,weed,6/1/21,2,2,0.1171,
cci,a,b6,3012,weed,6/1/21,2,3,0.1062,
cci,a,b8,3013,weed,5/30/20,3,1,0.1017,
cci,a,c5,3014,weed,5/30/20,3,2,0.1019,
cci,a,c2,3015,pc,5/1/20,3,1,0.1156,
 cci,a,c3,2009,pc,4/13/21,3,1,0.1035,
cci,a,c4,3016,pc,5/1/20,3,3,0.1072,
cci,a,b10,3017,weed,6/1/21,3,1,0.1087,
cci,a,b9,3018,weed,6/1/21,3,2,0.1026,
cci,a,c1,3019,pc,5/1/20,4,3,0.11,
cci,a,d2,3020,pc,5/1/20,4,1,0.1094,
cci,a,d1,3021,pc,5/1/20,4,2,0.1139,
cci,a,d5,3022,pc,5/30/20,4,4,0.1057,
cci,a,d3,59,pc,5/30/20,4,1,0.1126,
cci,a,c6,40,weed,5/12/20,4,2,0.1085,
cci,a,c7,29,weed,5/1/20,4,3,0.118,
cci,a,d4,3023,weed,5/30/20,4,4,0.1108,
cci,a,c8,2205,weed,6/1/21,4,3,0.1146, 
cci,a,c10,2203,weed,6/1/21,4,1,0.1027,
cci,a,c9,2204,weed,6/1/21,4,2,0.1051,
cci,a,g4,3047,pc,4/13/21,4,2,0.1261,
cci,a,g2,3048,pc,4/13/21,4,3,0.1007,
cci,a,g5,3049,pc,4/13/21,4,1,0.1498,
