soil_block,spp,row,term,estimate,std.error,statistic,p.value
1,AR,1,k,0.013902583116134355,0.005274727413058342,2.6356969806091826,0.07794303250162063
1,AR,2,k,0.011137108958240945,0.004902152896865883,2.2718811902748457,0.10773803526926301
1,AR,3,k,0.011089283182173407,0.005342113149295695,2.0758233441078313,0.17356507297120638
1,AR,4,k,0.010370090994755781,0.00312749899400341,3.3157775636823996,0.045196445310567004
1,AR,5,k,0.014546626377199232,0.005517077885154936,2.6366541636725,0.11875947123419504
1,CR,1,k,0.0072267452576445955,0.003914603885586556,1.846098728980788,0.16205181705566044
1,CR,2,k,0.007998343471613158,0.0034885981102561673,2.29270991350329,0.10569301170513924
1,CR,3,k,0.011672012134810776,0.006638881360849856,1.7581293444467607,0.22080084548334963
1,CR,4,k,0.006299366957577281,0.003363808996879568,1.8726886584288462,0.15783272742598367
1,CR,5,k,0.014387755187997031,0.005576522180745497,2.580058811148422,0.12309340768021707
1,GM_PC,1,k,0.004803970654866341,0.0032030916324441994,1.4997918280597395,0.23063383960543365
1,GM_PC,2,k,0.0049931845836913655,0.0026029821478499144,1.9182554086342,0.15089607205520347
1,GM_PC,3,k,0.009806798484375451,0.005354220444402555,1.8316015536169676,0.20848194548072457
1,GM_PC,4,k,0.0038619361326164164,0.001870985760285791,2.0641183992904946,0.1309778518405091
1,GM_PC,5,k,0.0141788563245968,0.006445791054802499,2.199707716872502,0.15884165797404326
1,PC,1,k,0.010118052233129523,0.003762735759790807,2.6890148230052824,0.0744763980656432
1,PC,2,k,0.007033367783603502,0.004171052165788755,1.6862334739641112,0.19033695550065344
1,PC,3,k,0.012731078420398428,0.005600481527637244,2.2732113939798086,0.15090501645999863
1,PC,4,k,0.009306107978417326,0.004708988049943671,1.9762437024083437,0.14257749189638216
1,PC,5,k,0.011072907016533738,0.005684845752804172,1.9477937481543433,0.19079706044156797
2,AR,6,k,0.00938096042773232,0.006887318582281363,1.3620627992824692,0.3062981923360528
2,AR,7,k,0.013780335500293284,0.0029449612213685926,4.679292684841955,0.018440197997707502
2,AR,8,k,0.013436701868201324,0.004178712127537297,3.2155126886235585,0.04875073951859221
2,AR,9,k,0.011096119711140042,0.002687849586516189,4.128251732092677,0.025779648453602404
2,AR,10,k,0.015504696053632071,0.0059500970865496265,2.6057887506879345,0.07997501265968189
2,CR,6,k,0.013496566167009486,0.005628799092587212,2.397770100692286,0.13865673439886675
2,CR,7,k,0.00795021823895308,0.0031952676400652043,2.4881227911133115,0.08863095282692006
2,CR,8,k,0.008140473003895313,0.003592335542470767,2.266066993924624,0.1083174033203968
2,CR,9,k,0.009675438632341962,0.006070854723465025,1.5937522923987166,0.2092466800136994
2,CR,10,k,0.014498061980306344,0.002704397359622238,5.360921511301688,0.012701652245887481
2,GM_PC,6,k,0.00459943851060752,0.002297381777693642,2.002034905676378,0.13905153619449126
2,GM_PC,7,k,0.0044661110910631345,0.0018088128734712829,2.4690840918730554,0.09013761334164348
2,GM_PC,8,k,0.0051349747650719256,0.0027362454729341363,1.8766498897357988,0.15721517225157727
2,GM_PC,9,k,0.00663633423757023,0.0022906517020970683,2.8971380640255058,0.0626478927339925
2,GM_PC,10,k,0.006384009553473052,0.0025483708241565216,2.5051336693065767,0.06640139513969229
2,PC,6,k,0.007604246302741716,0.0038638289821967893,1.9680597505167796,0.1437182568275056
2,PC,7,k,0.007892452820765422,0.0021806375455356835,3.619332720801432,0.036264423287842754
2,PC,8,k,0.004601352551522663,0.003133454706612401,1.4684598892757625,0.23829252969400241
2,PC,9,k,0.006130614619004619,0.0033268287628981804,1.8427803340451792,0.16258748395950087
2,PC,10,k,0.00513273848150518,0.0016778420965438447,3.0591308276732425,0.05503068271107862
