spp,soil_block,days,pct_mass_remain,.fitted,.resid
AR,2,0,93.46203904555314,100,-6.537960954446859
AR,2,7,85.19442984760903,90.94975874041792,-5.75532889280889
AR,2,14,76.60426643447977,82.71858614940226,-6.1143197149224875
AR,2,21,70.93935584550695,75.2323545363661,-4.29299869085915
AR,2,28,57.1958981612447,68.42364494556081,-11.22774678431611
AR,2,49,52.57253045841003,51.476719152148654,1.0958113062613748
AR,2,63,51.429285773814485,42.58081427875593,8.848471495058554
AR,2,84,59.85517484987637,32.03454916266526,27.820625687211113
AR,2,0,91.5601703940362,100,-8.439829605963794
AR,2,7,83.09785680128678,90.94975874041792,-7.851901939131139
AR,2,14,75.47004261719728,82.71858614940226,-7.248543532204977
AR,2,21,70.83838558808246,75.2323545363661,-4.393968948283643
AR,2,28,56.44097003320304,68.42364494556081,-11.982674912357773
AR,2,35,54.396233057560295,62.23113999938772,-7.834906941827427
AR,2,49,40.959442164261446,51.476719152148654,-10.517276987887207
AR,2,63,46.87255668491009,42.58081427875593,4.291742406154157
AR,2,84,48.33480176211454,32.03454916266526,16.30025259944928
AR,2,0,93.23579212434332,100,-6.76420787565668
AR,2,7,85.49072897032394,90.94975874041792,-5.459029770093977
AR,2,14,73.43255087430035,82.71858614940226,-9.28603527510191
AR,2,21,69.14347826086956,75.2323545363661,-6.0888762754965455
AR,2,28,54.87842548872513,68.42364494556081,-13.545219456835682
AR,2,35,52.89669315560113,62.23113999938772,-9.334446843786594
AR,2,63,51.53059040116453,42.58081427875593,8.9497761224086
AR,2,84,42.87626284431396,32.03454916266526,10.841713681648706
AR,2,0,90.92434805060677,100,-9.075651949393233
AR,2,7,83.08905940167254,90.94975874041792,-7.860699338745377
AR,2,14,76.72026844467686,82.71858614940226,-5.998317704725395
AR,2,21,75.37875431912818,75.2323545363661,0.14639978276207444
AR,2,28,63.087424520871615,68.42364494556081,-5.336220424689195
AR,2,35,58.772234273318865,62.23113999938772,-3.4589057260688563
AR,2,49,55.50942743469989,51.476719152148654,4.0327082825512335
AR,2,63,47.88664535061977,42.58081427875593,5.305831071863842
AR,2,84,48.22808870116156,32.03454916266526,16.193539538496303
AR,2,0,93.62250285086796,100,-6.37749714913204
AR,2,7,82.39664218258133,90.94975874041792,-8.553116557836589
AR,2,14,62.82546019072964,82.71858614940226,-19.893125958672613
AR,2,21,67.24697934260101,75.2323545363661,-7.985375193765094
AR,2,28,54.26172027184971,68.42364494556081,-14.161924673711098
AR,2,35,43.877593795849926,62.23113999938772,-18.353546203537796
AR,2,49,42.49699879951981,51.476719152148654,-8.979720352628846
AR,2,63,46.231004348013265,42.58081427875593,3.6501900692573344
AR,2,84,57.56195180107297,32.03454916266526,25.527402638407715
CR,1,84,61.26772818237187,54.43864312327547,6.8290850590964
CR,1,0,93.16529109971002,100,-6.834708900289982
CR,1,7,83.93613282965826,95.05878834801756,-11.122655518359295
CR,1,14,74.74684111479523,90.361732421932,-15.614891307136773
CR,1,21,76.46730256939074,85.89676797056633,-9.429465401175591
CR,1,28,73.15986455177331,81.65242686292838,-8.49256231115507
CR,1,35,72.23834652594547,77.61780763265094,-5.379461106705463
CR,1,49,68.52603552878529,70.13679564478595,-1.6107601160006624
CR,1,63,62.42583753401436,63.37682360985875,-0.9509860758443835
CR,1,84,59.29386873539912,54.43864312327547,4.855225612123654
CR,1,0,93.3462333435947,100,-6.6537666564052955
CR,1,7,89.81004793183028,95.05878834801756,-5.248740416187275
CR,1,14,76.97380146141508,90.361732421932,-13.387930960516925
CR,1,21,89.20779685264665,85.89676797056633,3.311028882080322
CR,1,28,77.71126760563381,81.65242686292838,-3.941159257294572
CR,1,35,80.88672969187675,77.61780763265094,3.2689220592258152
CR,1,49,82.27859135285914,70.13679564478595,12.14179570807319
CR,1,63,64.14646996838778,63.37682360985875,0.7696463585290303
CR,1,84,77.0943477326456,54.43864312327547,22.655704609370133
CR,1,0,91.83910019747574,100,-8.160899802524256
CR,1,7,85.51344204495372,95.05878834801756,-9.545346303063837
CR,1,14,75.36969804303551,90.361732421932,-14.992034378896491
CR,1,21,76.28659270151049,85.89676797056633,-9.610175269055844
CR,1,35,72.7853117294822,77.61780763265094,-4.832495903168734
CR,1,49,61.37605133096332,70.13679564478595,-8.760744313822627
CR,1,84,58.76054368253136,54.43864312327547,4.321900559255894
CR,1,0,92.82532962913966,100,-7.1746703708603405
CR,1,7,87.62274784390743,95.05878834801756,-7.4360405041101245
CR,1,14,94.8590895013936,90.361732421932,4.497357079461594
CR,1,21,79.60827954596039,85.89676797056633,-6.288488424605944
CR,1,28,76.58312773232913,81.65242686292838,-5.069299130599248
CR,1,35,71.20617477760337,77.61780763265094,-6.411632855047571
CR,1,49,61.00875364735307,70.13679564478595,-9.12804199743288
CR,1,63,65.19105110562984,63.37682360985875,1.8142274957710924
CR,1,84,74.75326753801014,54.43864312327547,20.314624414734666
CR,1,0,92.1599355243127,100,-7.840064475687299
CR,1,7,88.78974762717054,95.05878834801756,-6.269040720847016
CR,1,14,80.0287043882921,90.361732421932,-10.333028033639906
CR,1,21,78.79460400348128,85.89676797056633,-7.102163967085048
CR,1,28,72.75558735637023,81.65242686292838,-8.896839506558152
CR,1,35,75.64169494474898,77.61780763265094,-1.97611268790196
CR,1,49,68.10157811901826,70.13679564478595,-2.035217525767692
CR,2,0,93.703341628155,100,-6.296658371844998
CR,2,7,86.74945533769063,92.74387307909949,-5.994417741408853
CR,2,14,81.68908157848168,86.01425993712114,-4.325178358639462
CR,2,21,73.99826162538027,79.77295606601034,-5.774694440630071
CR,2,28,70.817900562116,73.98452912530642,-3.1666285631904287
CR,2,28,64.78185610936043,73.98452912530642,-9.20267301594599
CR,2,35,58.841369610127025,68.61611779014358,-9.774748180016552
CR,2,49,59.63194988253719,59.01964591477532,0.6123039677618749
CR,2,84,55.6866236367683,40.496989760207896,15.189633876560407
CR,2,0,91.79615202513666,100,-8.203847974863336
CR,2,7,85.25016244314489,92.74387307909949,-7.493710635954599
CR,2,14,77.50758560901603,86.01425993712114,-8.506674328105106
CR,2,21,72.0302049622438,79.77295606601034,-7.742751103766537
CR,2,28,63.75700770847933,73.98452912530642,-10.227521416827095
CR,2,35,60.73984612631955,68.61611779014358,-7.876271663824028
CR,2,49,53.43652433929906,59.01964591477532,-5.583121575476255
CR,2,63,54.62890794145665,50.76531165110334,3.863596290353314
CR,2,84,60.00955358693765,40.496989760207896,19.512563826729753
CR,2,0,90.78612209046992,100,-9.213877909530083
CR,2,7,87.65227262804,92.74387307909949,-5.091600451059492
