spp,soil_block,days,pct_n_remain,.fitted,.resid
AR,2,0,101.0548055138944,100,1.0548055138943937
AR,2,14,53.725961263223674,83.61619090905016,-29.890229645826487
AR,2,63,67.32998254432756,44.69991612816474,22.630066416162826
AR,2,0,100.06868418284496,100,0.06868418284496158
AR,2,14,65.72201256553124,83.61619090905016,-17.894178343518917
AR,2,35,61.35869655236198,63.933127371530105,-2.5744308191681284
AR,2,63,49.58464500273949,44.69991612816474,4.884728874574755
AR,2,0,89.9117808329436,100,-10.088219167056394
AR,2,14,60.51425875672909,83.61619090905016,-23.10193215232107
AR,2,35,61.831318709060355,63.933127371530105,-2.1018086624697503
AR,2,63,53.00633495385715,44.69991612816474,8.306418825692411
AR,2,0,92.46543869553231,100,-7.534561304467687
AR,2,14,69.94951418684742,83.61619090905016,-13.666676722202737
AR,2,35,65.60781266045531,63.933127371530105,1.674685288925204
AR,2,63,57.3744143593048,44.69991612816474,12.674498231140063
AR,2,0,96.85086501813926,100,-3.1491349818607404
AR,2,14,51.77317292164161,83.61619090905016,-31.84301798740855
AR,2,35,53.34038287280411,63.933127371530105,-10.592744498725992
AR,2,63,55.39074162093932,44.69991612816474,10.690825492774586
CR,2,0,91.8149490588593,100,-8.185050941140702
CR,2,14,66.98618225337623,86.60239699577431,-19.616214742398085
CR,2,35,70.74049299897133,69.7950755429435,0.9454174560278403
CR,2,0,92.49785992803903,100,-7.502140071960966
CR,2,14,66.78902443028483,86.60239699577431,-19.813372565489487
CR,2,35,70.9123985352445,69.7950755429435,1.1173229923010126
CR,2,63,71.37063719940132,52.34613332402493,19.024503875376382
CR,2,0,92.11100642952472,100,-7.888993570475279
CR,2,14,63.28881247123497,86.60239699577431,-23.313584524539344
CR,2,35,71.25168934577077,69.7950755429435,1.4566138028272775
CR,2,63,71.22897241334564,52.34613332402493,18.88283908932071
CR,2,0,86.76249399948618,100,-13.237506000513818
CR,2,14,52.95305369904361,86.60239699577431,-33.649343296730706
CR,2,35,55.81328795180315,69.7950755429435,-13.981787591140346
CR,2,63,77.89461539897556,52.34613332402493,25.548482074950627
CR,2,0,92.35629528502086,100,-7.643704714979137
CR,2,14,68.01660463764384,86.60239699577431,-18.585792358130476
CR,2,35,62.965209462255025,69.7950755429435,-6.829866080688468
CR,2,63,43.97024913138641,52.34613332402493,-8.375884192638523
GM_PC,2,0,93.42886761824862,100,-6.571132381751383
GM_PC,2,14,76.9659606647748,92.68882347564725,-15.722862810872456
GM_PC,2,35,75.9352104304591,82.71198126381385,-6.77677083335476
GM_PC,2,63,85.3312589723833,71.0596662025993,14.271592769783993
GM_PC,2,0,108.8319758056845,100,8.831975805684493
GM_PC,2,14,102.41002998063648,92.68882347564725,9.721206504989226
GM_PC,2,35,73.33673414636196,82.71198126381385,-9.375247117451892
GM_PC,2,63,80.80807956101982,71.0596662025993,9.748413358420521
GM_PC,2,0,109.32797438514494,100,9.327974385144941
GM_PC,2,14,90.1309322236288,92.68882347564725,-2.5578912520184502
GM_PC,2,35,63.29813186534036,82.71198126381385,-19.413849398473495
GM_PC,2,63,86.18979499987636,71.0596662025993,15.130128797277052
GM_PC,2,0,88.30661702763291,100,-11.69338297236709
GM_PC,2,14,82.14581408168794,92.68882347564725,-10.54300939395931
GM_PC,2,35,68.94740827087406,82.71198126381385,-13.76457299293979
GM_PC,2,63,75.50115938323809,71.0596662025993,4.441493180638787
GM_PC,2,0,120.42493573736115,100,20.424935737361153
GM_PC,2,0,108.10874912785832,100,8.108749127858317
GM_PC,2,14,76.97905627053225,92.68882347564725,-15.709767205115
GM_PC,2,35,83.05695788631469,82.71198126381385,0.3449766225008375
GM_PC,2,63,69.23544083101844,71.0596662025993,-1.8242253715808658
PC,2,0,85.69931905587346,100,-14.30068094412654
PC,2,14,63.488426838348,91.64726345214625,-28.15883661379825
PC,2,35,71.44713917453991,80.40790634080413,-8.960767166264219
PC,2,63,74.02001035183457,67.53637673235858,6.483633619475995
PC,2,0,97.78932502833092,100,-2.2106749716690786
PC,2,14,76.78113596021946,91.64726345214625,-14.86612749192679
PC,2,35,87.98494872305345,80.40790634080413,7.577042382249317
PC,2,63,56.5957502486,67.53637673235858,-10.940626483758578
PC,2,0,117.40482057702602,100,17.404820577026015
PC,2,14,100.66657633328396,91.64726345214625,9.019312881137708
PC,2,35,63.315138449306595,80.40790634080413,-17.092767891497537
PC,2,63,86.6948462874564,67.53637673235858,19.158469555097824
PC,2,0,84.4081751411541,100,-15.591824858845897
PC,2,14,68.7994489290937,91.64726345214625,-22.84781452305255
PC,2,35,74.55469482409829,80.40790634080413,-5.853211516705841
PC,2,63,78.90205409191347,67.53637673235858,11.365677359554894
PC,2,0,91.53500301336838,100,-8.464996986631618
PC,2,14,79.64799723872305,91.64726345214625,-11.999266213423198
PC,2,35,85.37558227094269,80.40790634080413,4.9676759301385545
PC,2,63,75.03887526000649,67.53637673235858,7.502498527647916
AR,1,0,95.36284160697184,100,-4.637158393028159
AR,1,14,53.313476465522626,84.61046164093656,-31.296985175413937
AR,1,35,59.51719830649576,65.85066445564638,-6.333466149150624
AR,1,63,55.988908793889415,47.14203117188405,8.846877622005366
AR,1,0,80.8571105616856,100,-19.1428894383144
AR,1,14,62.07696830630892,84.61046164093656,-22.533493334627643
AR,1,35,84.45485327946777,65.85066445564638,18.60418882382139
AR,1,63,45.88450226965715,47.14203117188405,-1.2575289022269018
AR,1,0,85.4384356396566,100,-14.561564360343397
AR,1,14,73.26098496482302,84.61046164093656,-11.34947667611354
AR,1,35,74.07272399679994,65.85066445564638,8.222059541153556
AR,1,0,90.0851797883655,100,-9.914820211634506
AR,1,14,69.92730287004919,84.61046164093656,-14.683158770887374
AR,1,35,63.139940196747865,65.85066445564638,-2.710724258898516
AR,1,63,62.91805059509237,47.14203117188405,15.776019423208318
AR,1,0,95.97585693124392,100,-4.024143068756075
AR,1,14,65.54744145559977,84.61046164093656,-19.063020185336796
AR,1,35,68.80297272715067,65.85066445564638,2.952308271504293
CR,1,0,102.2940652797372,100,2.2940652797371968
CR,1,14,59.21570456627278,89.06485472610255,-29.849150159829776
CR,1,35,73.79455829961074,74.86277297056479,-1.068214670954049
CR,1,63,75.91745356812032,59.385256600806905,16.532196967313418
CR,1,0,109.628307401442,100,9.628307401442001
CR,1,14,65.79414579398232,89.06485472610255,-23.27070893212023
CR,1,35,69.1387613071636,74.86277297056479,-5.7240116634011855
CR,1,63,72.66069913027941,59.385256600806905,13.275442529472507
CR,1,0,86.79720380025505,100,-13.202796199744952
CR,1,14,66.51807957932947,89.06485472610255,-22.546775146773086
CR,1,35,75.8707210522747,74.86277297056479,1.0079480817099125
CR,1,0,85.14901675501345,100,-14.850983244986551
CR,1,14,68.55695141170906,89.06485472610255,-20.507903314393488
CR,1,35,73.23498170316398,74.86277297056479,-1.6277912674008093
CR,1,63,78.82726123960799,59.385256600806905,19.442004638801087
CR,1,0,86.45998120765961,100,-13.54001879234039
CR,1,14,70.07377868606535,89.06485472610255,-18.9910760400372
CR,1,35,66.75813243907659,74.86277297056479,-8.1046405314882
GM_PC,1,0,114.38759618827264,100,14.387596188272639
GM_PC,1,14,66.51697020894265,92.2338635998564,-25.716893390913754
GM_PC,1,35,84.89582332847229,81.70074244278804,3.1950808856842485
GM_PC,1,63,81.23562271046602,69.50352090996469,11.732101800501326
GM_PC,1,0,109.33593428946536,100,9.335934289465357
GM_PC,1,14,71.6855207147468,92.2338635998564,-20.548342885109605
GM_PC,1,35,80.13239713697375,81.70074244278804,-1.5683453058142902
GM_PC,1,63,81.5793438912645,69.50352090996469,12.075822981299808
GM_PC,1,0,83.11813842475026,100,-16.881861575249744
GM_PC,1,14,76.03668107626066,92.2338635998564,-16.197182523595743
GM_PC,1,35,76.41928576470185,81.70074244278804,-5.281456678086187
GM_PC,1,0,91.40599160832704,100,-8.594008391672958
GM_PC,1,14,80.00329378593047,92.2338635998564,-12.23056981392594
GM_PC,1,35,81.98205010488682,81.70074244278804,0.2813076620987829
GM_PC,1,63,85.68656252980688,69.50352090996469,16.183041619842186
GM_PC,1,0,85.99530133189133,100,-14.004698668108674
GM_PC,1,14,66.98640171088483,92.2338635998564,-25.24746188897157
GM_PC,1,35,68.96612997952536,81.70074244278804,-12.734612463262678
PC,1,0,96.01683207576237,100,-3.983167924237634
PC,1,14,65.414405758867,87.63226371429006,-22.217857955423057
PC,1,35,60.48960204466619,71.8886083279346,-11.399006283268413
PC,1,63,67.80926598999966,55.20623596194907,12.60303002805059
PC,1,0,75.31139926663481,100,-24.688600733365192
PC,1,14,70.330152198301,87.63226371429006,-17.30211151598907
PC,1,35,67.28254391860295,71.8886083279346,-4.606064409331651
PC,1,63,77.93995326177368,55.20623596194907,22.73371729982461
PC,1,0,114.4528725966369,100,14.452872596636894
PC,1,14,71.38130686517783,87.63226371429006,-16.250956849112228
PC,1,35,70.46918442469581,71.8886083279346,-1.419423903238794
PC,1,0,135.5719997048575,100,35.57199970485749
PC,1,14,81.2858449934168,87.63226371429006,-6.34641872087326
PC,1,35,68.71884243728161,71.8886083279346,-3.1697658906529966
PC,1,63,60.428037885468214,55.20623596194907,5.221801923519145
PC,1,0,82.82769661425601,100,-17.172303385743987
PC,1,14,97.02916837353196,87.63226371429006,9.396904659241898
PC,1,35,62.12335464998581,71.8886083279346,-9.765253677948799
