soil_block,spp,row_no,term,estimate,std.error,statistic,p.value
1,AR,1,k,0.010994766681417207,0.0013641322992491549,8.059897626842309,4.1383690051761554e-5
1,AR,2,k,0.005389261792575289,0.0016865195584676545,3.1954932070114195,0.012698074956123372
1,AR,3,k,0.010702742999870993,0.0012987018870364402,8.241108376529745,1.7249452274155813e-4
1,AR,4,k,0.010124027563168431,0.0010898941838492478,9.289000449027782,1.4680377400955937e-5
1,AR,5,k,0.012163565258355102,0.0015450237524694587,7.872736738780685,1.0096219384297235e-4
1,CR,1,k,0.00830707342232225,0.0010935350769302535,7.596531284247119,6.325490304581643e-5
1,CR,2,k,0.0052566104277886605,9.970484660340485e-4,5.272171420811504,7.5331073750595e-4
1,CR,3,k,0.008879499694081803,0.0014760331389179998,6.015786136475828,9.513241518803226e-4
1,CR,4,k,0.006780337404189123,0.0011315560900386056,5.992047114480906,3.262733874445773e-4
1,CR,5,k,0.007911791842271346,0.0010621431818843969,7.448893875338609,1.4335295923730777e-4
1,GM_PC,1,k,0.0034158930914608048,5.764772372746789e-4,5.925460487580719,3.515269511106874e-4
1,GM_PC,2,k,0.003853400151016515,3.8310438681417053e-4,10.058355590915365,8.127200959234158e-6
1,GM_PC,3,k,0.003566797125897319,6.257490198420025e-4,5.70004428740122,0.0012601638357505947
1,GM_PC,4,k,0.0026168844211703736,4.6879376113914705e-4,5.582165630386092,5.209805796926815e-4
1,GM_PC,5,k,0.0034470020243610204,7.32658673835867e-4,4.704785662761745,0.0021962038623108563
1,PC,1,k,0.005431422625946515,8.708396279526799e-4,6.236995253323096,2.491991177876727e-4
1,PC,2,k,0.006108849914638524,7.836677431197943e-4,7.795203985708397,5.260493305660421e-5
1,PC,3,k,0.005895822614764794,0.0011088134884072822,5.317235654513592,0.0017999240728023792
1,PC,4,k,0.006882577426078853,9.636684607967914e-4,7.142059438562637,9.785254133390289e-5
1,PC,5,k,0.005434981974108394,8.226721598718272e-4,6.606497994237665,3.0247460534413577e-4
2,AR,6,k,0.01124042314041479,0.0019207240696397685,5.852180080464619,6.292072007192477e-4
2,AR,7,k,0.014624031148672518,0.0017928226574291835,8.156987021595675,3.795744961818244e-5
2,AR,8,k,0.014270826692054317,0.0019285406780130128,7.39980590233525,1.4944748056245605e-4
2,AR,9,k,0.012353075696991608,0.0012578392592339524,9.820869881669031,9.71296641587425e-6
2,AR,10,k,0.015512349227546275,0.002829184744947232,5.482975000218871,5.853950806078988e-4
2,CR,6,k,0.011170035859459616,0.001346574191500778,8.295150709082309,3.361280327947495e-5
2,CR,7,k,0.010899072172716878,0.0015484083309544579,7.038887582062127,1.083590336539702e-4
2,CR,8,k,0.010055626722721782,0.0013445207182582173,7.478967476044934,7.067247079381419e-5
2,CR,9,k,0.010307510832656169,0.0010890934464746647,9.464303422283011,1.2783901809935599e-5
2,CR,10,k,0.011466901689980064,0.0013802669470388484,8.30774200206746,3.324521917153914e-5
2,GM_PC,6,k,0.003856379458476088,3.137363253298982e-4,12.291785002648481,1.7848292010005302e-6
2,GM_PC,7,k,0.004160280125876342,3.947027160735375e-4,10.540287554295004,5.722962725756403e-6
2,GM_PC,8,k,0.004821464095798435,8.881077150662425e-4,5.4289181526126145,6.241414402158736e-4
2,GM_PC,9,k,0.00518341924707093,4.058085898464355e-4,12.773064387405944,4.177571294659135e-6
2,GM_PC,10,k,0.0042608878962366314,5.870548406735441e-4,7.258074716406389,8.7365766640985e-5
2,PC,6,k,0.005726579314848051,9.455817836587179e-4,6.056143861708428,5.12828237873182e-4
2,PC,7,k,0.00710985613869972,9.127000163297191e-4,7.789915647521185,5.286116909064727e-5
2,PC,8,k,0.006642674845934228,9.393763039262793e-4,7.07136726588702,1.0492249522359017e-4
2,PC,9,k,0.006698068885991305,8.220318575908745e-4,8.14818650170239,3.825464468559408e-5
2,PC,10,k,0.006764562084083184,0.0010269471826521888,6.587059391519103,1.7168853183985934e-4
