id,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,mass_sent_g,row_no,pct_mass_remain,pct_mass_remain_corr,prop_n,prop_c,total_n_g
323,AR,23.875,22.134,0,1,A,1.76,41.1,0.1057,1,92.70785340314136,99.88848450314136,0.0176,0.41100000000000003,0.3895584
387,AR,23.035,21.388,0,1,B,1.49,41.2,0.1032,2,92.85001085304971,100.03064195304971,0.0149,0.41200000000000003,0.31868120000000005
396,AR,23.779,22.141,0,1,C,1.57,41.6,0.1061,3,93.11156903149838,100.29220013149838,0.015700000000000002,0.41600000000000004,0.3476137
386,AR,22.69,21.196,0,1,D,1.65,41.5,0.1041,4,93.41560158660202,100.59623268660202,0.0165,0.415,0.34973400000000004
392,AR,23.252,21.695,0,1,E,1.76,40.8,0.1014,5,93.30380182349906,100.48443292349906,0.0176,0.408,0.381832
325,AR,23.05,21.543,0,2,F,1.85,41.5,0.1101,6,93.46203904555314,100.64267014555314,0.018500000000000003,0.415,0.39854550000000005
315,AR,22.536,20.634,0,2,G,1.87,41.2,0.1086,7,91.5601703940362,98.7408014940362,0.0187,0.41200000000000003,0.3858558
393,AR,23.033,21.475,0,2,H,1.65,41.8,0.1088,8,93.23579212434333,100.41642322434333,0.0165,0.418,0.3543375
379,AR,23.238,21.129,0,2,I,1.74,40.9,0.102,9,90.92434805060677,98.10497915060677,0.0174,0.409,0.3676446
394,AR,23.677,22.167,0,2,J,1.77,41.5,0.1127,10,93.62250285086795,100.80313395086795,0.0177,0.415,0.39235590000000004
300,AR,23.869,21.229,7,1,A,NA,NA,NA,1,88.93962880723952,88.93962880723952,NA,NA,NA
308,AR,23.337,19.8716,7,1,B,NA,NA,NA,2,85.15061918841326,85.15061918841326,NA,NA,NA
346,AR,22.555,19.085,7,1,C,NA,NA,NA,3,84.61538461538463,84.61538461538463,NA,NA,NA
338,AR,22.775,19.026,7,1,D,NA,NA,NA,4,83.53896816684963,83.53896816684963,NA,NA,NA
310,AR,23.518,19.635,7,1,E,NA,NA,NA,5,83.48924228250702,83.48924228250702,NA,NA,NA
345,AR,22.836,19.455,7,2,F,NA,NA,NA,6,85.19442984760903,85.19442984760903,NA,NA,NA
335,AR,23.003,19.115,7,2,G,NA,NA,NA,7,83.09785680128678,83.09785680128678,NA,NA,NA
332,AR,22.813,19.503,7,2,H,NA,NA,NA,8,85.49072897032394,85.49072897032394,NA,NA,NA
388,AR,23.198,19.275,7,2,I,NA,NA,NA,9,83.08905940167254,83.08905940167254,NA,NA,NA
369,AR,23.825,19.631,7,2,J,NA,NA,NA,10,82.39664218258133,82.39664218258133,NA,NA,NA
321,AR,22.812,16.257,14,1,A,1.28,39.8,0.1104,1,71.26512361914781,71.26512361914781,0.0128,0.39799999999999996,0.20808960000000004
362,AR,23.852,19.339,14,1,B,1.31,33.9,0.1048,2,81.07915478785846,81.07915478785846,0.0131,0.33899999999999997,0.2533409
329,AR,22.761,17.721,14,1,C,1.61,39.1,0.1003,3,77.856860419138,77.856860419138,0.0161,0.391,0.2853081
333,AR,23.878,20.119,14,1,D,1.42,37.9,0.1046,4,84.25747550046067,84.25747550046067,0.014199999999999999,0.379,0.2856898
299,AR,22.364,15.676,14,1,E,1.6,40.5,0.1057,5,70.094795206582,70.094795206582,0.016,0.405,0.250816
314,AR,22.97,17.596,14,2,F,1.2,41,0.1026,6,76.60426643447977,76.60426643447977,0.012,0.41,0.211152
347,AR,23.934,18.063,14,2,G,1.49,39.1,0.1019,7,75.47004261719728,75.47004261719728,0.0149,0.391,0.2691387
344,AR,23.047,16.924,14,2,H,1.41,39.3,0.1058,8,73.43255087430035,73.43255087430035,0.0141,0.39299999999999996,0.2386284
377,AR,22.947,17.605,14,2,I,1.56,40,0.1035,9,76.72026844467686,76.72026844467686,0.015600000000000001,0.4,0.27463800000000005
361,AR,22.545,14.164,14,2,J,1.41,40.8,0.1021,10,62.82546019072964,62.82546019072964,0.0141,0.408,0.19971239999999998
307,AR,22.661,16.012,21,1,A,NA,NA,NA,1,70.65884118088346,70.65884118088346,NA,NA,NA
339,AR,23.248,18.023,21,1,B,NA,NA,NA,2,77.52494838265656,77.52494838265656,NA,NA,NA
305,AR,23.056,16.364,21,1,C,NA,NA,NA,3,70.97501734906315,70.97501734906315,NA,NA,NA
