days,spp,mean,sd
0,AR,24.258335419595536,1.8248316809624527
0,CR,30.032756605334207,2.269777619997562
0,GM_PC,27.38417999796852,4.889570404841206
0,PC,24.922390202926277,3.915358994794626
14,AR,27.61177814104498,3.0345983070422426
14,CR,34.633611988692174,3.899614670344101
14,GM_PC,31.11921990224912,4.106313298063724
14,PC,26.238052385662158,3.8919877336818076
35,AR,17.660247614159466,1.53963629545896
35,CR,25.336490469737686,3.335498548932882
35,GM_PC,28.60497096821968,2.8012379425190157
35,PC,24.281862592714067,3.5728517773772253
63,AR,18.02581037024848,1.8572317688962916
63,CR,20.50621276169709,2.1960331871811234
63,GM_PC,24.51654979068996,2.044118518720116
63,PC,20.20842495760031,2.60926042780636
