bag_no,spp,initial_wt_g,coll_wt_g,days,soil_block,row,row_no,pct_mass_remain,pct_mass_remain_corr
325,AR,23.05,21.543,0,2,F,6,93.46203904555314,100.64267014555314
345,AR,22.836,19.455,7,2,F,6,85.19442984760903,85.19442984760903
314,AR,22.97,17.596,14,2,F,6,76.60426643447977,76.60426643447977
381,AR,23.069,16.365,21,2,F,6,70.93935584550695,70.93935584550695
351,AR,22.624,12.94,28,2,F,6,57.1958981612447,57.1958981612447
320,AR,22.818,11.996,49,2,F,6,52.57253045841003,52.57253045841003
389,AR,23.998,12.342,63,2,F,6,51.429285773814485,51.429285773814485
385,AR,22.648,13.556,84,2,F,6,59.85517484987637,59.85517484987637
315,AR,22.536,20.634,0,2,G,7,91.5601703940362,98.7408014940362
335,AR,23.003,19.115,7,2,G,7,83.09785680128678,83.09785680128678
347,AR,23.934,18.063,14,2,G,7,75.47004261719728,75.47004261719728
372,AR,23.092,16.358,21,2,G,7,70.83838558808246,70.83838558808246
312,AR,23.793,13.429,28,2,G,7,56.440970033203044,56.440970033203044
368,AR,22.724,12.361,35,2,G,7,54.396233057560295,54.396233057560295
374,AR,22.659,9.281,49,2,G,7,40.959442164261446,40.959442164261446
366,AR,23.022,10.791,63,2,G,7,46.87255668491009,46.87255668491009
363,AR,22.7,10.972,84,2,G,7,48.33480176211454,48.33480176211454
384,AR,23.447,NA,NA,2,G,7,NA,NA
393,AR,23.033,21.475,0,2,H,8,93.23579212434333,100.41642322434333
332,AR,22.813,19.503,7,2,H,8,85.49072897032394,85.49072897032394
344,AR,23.047,16.924,14,2,H,8,73.43255087430035,73.43255087430035
364,AR,23,15.903,21,2,H,8,69.14347826086956,69.14347826086956
376,AR,22.661,12.436,28,2,H,8,54.87842548872513,54.87842548872513
309,AR,23.406,12.381,35,2,H,8,52.89669315560113,52.89669315560113
357,AR,23.357,12.036,63,2,H,8,51.53059040116453,51.53059040116453
373,AR,23.162,9.931,84,2,H,8,42.87626284431396,42.87626284431396
365,AR,22.722,NA,NA,2,H,8,NA,NA
379,AR,23.238,21.129,0,2,I,9,90.92434805060677,98.10497915060677
388,AR,23.198,19.275,7,2,I,9,83.08905940167254,83.08905940167254
377,AR,22.947,17.605,14,2,I,9,76.72026844467686,76.72026844467686
354,AR,22.574,17.016,21,2,I,9,75.37875431912818,75.37875431912818
340,AR,22.854,14.418,28,2,I,9,63.087424520871615,63.087424520871615
324,AR,23.05,13.547,35,2,I,9,58.772234273318865,58.772234273318865
356,AR,23.124,12.836,49,2,I,9,55.50942743469989,55.50942743469989
382,AR,22.831,10.933,63,2,I,9,47.88664535061977,47.88664535061977
336,AR,23.675,11.418,84,2,I,9,48.22808870116156,48.22808870116156
313,AR,23.972,NA,NA,2,I,9,NA,NA
394,AR,23.677,22.167,0,2,J,10,93.62250285086795,100.80313395086795
369,AR,23.825,19.631,7,2,J,10,82.39664218258133,82.39664218258133
361,AR,22.545,14.164,14,2,J,10,62.82546019072964,62.82546019072964
342,AR,23.091,15.528,21,2,J,10,67.24697934260101,67.24697934260101
353,AR,23.101,12.535,28,2,J,10,54.26172027184971,54.26172027184971
302,AR,23.855,10.467,35,2,J,10,43.877593795849926,43.877593795849926
390,AR,23.324,9.912,49,2,J,10,42.49699879951981,42.49699879951981
316,AR,23.229,10.739,63,2,J,10,46.231004348013265,46.231004348013265
395,AR,23.486,13.519,84,2,J,10,57.56195180107297,57.56195180107297
319,AR,22.425,NA,NA,2,J,10,NA,NA
230,CR,22.986,14.083,84,1,E,5,61.26772818237187,61.26772818237187
211,CR,22.504,21.087,0,2,F,6,93.70334162815499,101.12466472815498
261,CR,22.95,19.909,7,2,F,6,86.74945533769063,86.74945533769063
260,CR,22.604,18.465,14,2,F,6,81.68908157848168,81.68908157848168
292,CR,23.01,17.027,21,2,F,6,73.99826162538027,73.99826162538027
206,CR,22.949,16.252,28,2,F,6,70.817900562116,70.817900562116
274,CR,22.531,14.596,28,2,F,6,64.78185610936043,64.78185610936043
359,CR,22.751,13.387,35,2,F,6,58.841369610127025,58.841369610127025
209,CR,22.986,13.707,49,2,F,6,59.63194988253719,59.63194988253719
257,CR,22.465,12.51,84,2,F,6,55.6866236367683,55.6866236367683
254,CR,23.325,NA,NA,2,F,6,NA,NA
272,CR,23.233,21.327,0,2,G,7,91.79615202513666,99.21747512513666
267,CR,23.085,19.68,7,2,G,7,85.25016244314489,85.25016244314489
286,CR,23.07,17.881,14,2,G,7,77.50758560901603,77.50758560901603
250,CR,23.175,16.693,21,2,G,7,72.0302049622438,72.0302049622438
226,CR,22.832,14.557,28,2,G,7,63.75700770847933,63.75700770847933
265,CR,22.356,13.579,35,2,G,7,60.73984612631955,60.73984612631955
297,CR,22.741,12.152,49,2,G,7,53.43652433929906,53.43652433929906
