sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remaing,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
2,PC,23.689,23.141,0,1,1,1.84,44.4,0.444,10.7761261,10.274604,0.953459889449512,95.3459889449512,0.0184,0.44345808000000003,0.42579439999999996,0.9601683207576237,96.01683207576237
183,GM_PC,24.783,24.581,0,1,1,1.84,43.7,0.43700000000000006,10.6904840988,10.741897000000002,1.004809221053495,100.48092210534948,0.0184,0.39540161265000007,0.4522904,1.1438759618827263,114.38759618827264
236,CR,22.415,20.883,0,1,1,1.58,43,0.43,9.633967,8.97969,0.932086439573646,93.2086439573646,0.0158,0.32255185,0.3299514,1.0229406527973721,102.29406527973721
323,AR,23.875,22.134,0,1,1,1.76,41.1,0.411,9.8627625,9.097074,0.9223657165018422,92.23657165018422,0.0176,0.40850125,0.3895584,0.9536284160697184,95.36284160697184
11,PC,25.556,24.848,0,1,2,1.45,45,0.45,11.625424400000002,11.1816,0.9618229507388992,96.18229507388992,0.014499999999999999,0.47840832000000005,0.36029599999999995,0.753113992666348,75.31139926663481
121,GM_PC,23.302,23.361,0,1,2,1.74,44.2,0.442,10.0516346072,10.325562,1.0272520245218408,102.72520245218408,0.0174,0.3717729241,0.4064814,1.0933593428946538,109.33593428946537
223,CR,22.739,21.226,0,1,2,1.69,43.3,0.433,9.7732222,9.190858,0.9404122623959168,94.04122623959168,0.0169,0.32721421,0.35871939999999997,1.09628307401442,109.628307401442
387,AR,23.035,21.388,0,1,2,1.49,41.2,0.412,9.5157585,8.811856,0.9260277044651776,92.60277044651777,0.0149,0.39412885000000003,0.31868120000000005,0.8085711056168561,80.8571105616856
77,PC,24.881,24.342,0,1,3,2.19,45.5,0.455,11.3183669,11.07561,0.9785519499283946,97.85519499283946,0.0219,0.46577232,0.5330898,1.144528725966369,114.4528725966369
176,GM_PC,24.481,23.871,0,1,3,1.36,45.6,0.456,10.5602122916,10.885176,1.030772459816787,103.07724598167869,0.013600000000000001,0.39058333855000005,0.3246456,0.8311813842475025,83.11813842475026
240,CR,23.294,21.393,0,1,3,1.36,42.4,0.424,10.0117612,9.070632,0.9059976380579272,90.59976380579272,0.013600000000000001,0.33520066,0.2909448,0.8679720380025505,86.79720380025505
396,AR,23.779,22.141,0,1,3,1.57,41.6,0.416,9.8231049,9.210656,0.937652208111918,93.76522081119178,0.015700000000000002,0.40685869,0.3476137,0.8543843563965661,85.4384356396566
